source,source_type,target,target_type,relation,evidence_count,evidence_titles
event:employment,event,asset:copper,asset,NEUTRAL_IMPACT,11,Copper hit hardest by jobs report | METALS-Copper slides after weak U.S. jobs report | METALS-Copper rises as dollar falls after U.S. jobs report | Unemployment data lifts U.S. copper to 20-month peak | Unemployment data lifts US copper to 20-mth peak
event:rate_cut,event,asset:futures,asset,NEGATIVE_IMPACT,11,"US RATE FUTURES-Debt plan smacks down Fed rate cut views | US RATE FUTURES-Slip, but still see year-end Fed rate cut | US RATE FUTURES-Path to Fed rate cuts clearer on jobs drop | US RATE FUTURES-Trim chances for big Fed rate cut | JGB futures slide on stock rebound, Fed rate cut"
event:rate_hike,event,asset:stocks,asset,NEGATIVE_IMPACT,10,"US STOCKS-Wall St ends lower as labor market strength stokes rate-hike fears | US STOCKS-Wall St set for lower open as jobs report stokes rate-hike worries | US STOCKS-Wall Street ends sharply lower as jobs report cements rate hike regime | Close Update: Stocks Trade Lower As Jobs Report, Fed Officials Keep Rate Hike in | U.S. Stock ETFs Slide as Stellar Jobs Report Fuels Rate Hike Fears"
asset:nasdaq,asset,asset:stocks,asset,POSITIVE_CORRELATION,10,"Wall St jumps, Nasdaq set for record closing high after surprise jobs report | US STOCKS-S&P 500, Nasdaq hit record highs as stimulus hopes outweigh dire jobs  | US STOCKS-S&P 500, Nasdaq fall as yields rally on hot labor market data | US STOCKS-S&P 500, Nasdaq set to fall as yields rally on labor market data | Tech lifts Nasdaq to record close but Wall Street mixed on jobs report"
event:employment,event,asset:asia_stocks,asset,NEUTRAL_IMPACT,10,"Asian Stocks Mixed Ahead of US Jobs Report | Asian Shares Mixed After Weak US Jobs Report | GLOBAL MARKETS-Asian shares creep up, nonfarm payrolls in focus | GLOBAL MARKETS-Asian shares, dollar awaits U.S. jobs report | SE Asia Stocks - Most little changed ahead of US jobs report"
event:rate_cut,event,asset:futures,asset,POSITIVE_IMPACT,10,"CANADA STOCKS-TSX futures gain on higher commodity prices, Fed rate cut bets | Dow Jones Futures: Stock Market Rally Steady, Apple In Buy Range After Fed Rate  | US STOCKS-Futures gain on hopes for Fed rate cut | U.S. gold futures finish higher after Fed rate cut | US rate futures reflect higher chance of 75-bp Fed rate cut"
asset:crude,asset,asset:futures,asset,POSITIVE_CORRELATION,10,"Stocks Down as Employment Data Weighs; Crude Futures Back Off Yesterday's Gains | US STOCKS-Futures climb on lower oil prices; private jobs report in focus | CANADA STOCKS-TSX futures fall on oil slump; employment data awaited | Large Cap Bank Stocks Trading Higher Pre-Market After Strong Jobs Report, S&P E- | U.S. crude futures trim loss after jobs report"
event:employment,event,asset:healthcare,asset,NEUTRAL_IMPACT,10,"Big Pharma, Green Trucks And Jobs Report (Stocks To Watch Podcast) | Stocks To Watch: Big Pharma, Green Trucks And Jobs Report | Tech Stocks Lead On Strong Jobs Report; This Biotech Stock Soars |  Unemployment Rate Hurts Some Healthcare Industries, Helps Others | Professional Diversity Network Jobs Report Offers Positive Outlook for Diverse J"
event:rate_cut,event,asset:peso,asset,NEUTRAL_IMPACT,10,"Mexico peso jumps on Fed program; US rate cut eyed | Mexico peso gains as investors eye US rate cut | Chilean peso hits year-high after Fed rate cut | Mexican stocks, peso off on doubts over US rate cut | Mexico peso, stocks hit by US rate cut doubts"
event:employment,event,asset:peso,asset,NEUTRAL_IMPACT,10,Mexico peso gains on U.S. employment data | Mexico peso gains sharply on U.S. employment data | Mexican peso weakens after U.S. employment data | Colombia’s Peso Drops Most in a Week on U.S. Jobs Report | Colombia Peso Gains as U.S. Jobs Report Signals Export Demand
event:employment,event,asset:dow,asset,POSITIVE_IMPACT,9,"Spurred Higher by Jobs Report, Dow Settles Above 15,000 | Opening View: DJIA, SPX Ready to Rally as Jobs Report Jolts the Bulls | Dow Secures Triple-Digit Gain as Employment Data Looms | Dow Jones Futures Rise On China News; Jobs Report Key For Stock Market Rally; 5  | Dow Jones Today: Stock Market Rally Holds Breath For Jobs Report; Apple Reclaims"
event:employment,event,asset:investors,asset,POSITIVE_IMPACT,9,"US STOCKS-Futures edge higher with investors on jobs report watch | Gold Funds Sparkle Again And Stocks Kick Higher On 'Goldilocks' Jobs Report | Labor Market's Loss = Investors' Gain: Worth it? - Analyst Blog | Traders Watching Banks Move Higher, Attributing Move to Comment from Atlanta Fed | Traders boost bets on Fed rate hike after strong jobs report"
asset:real,asset,asset:stocks,asset,POSITIVE_CORRELATION,9,"What's Your Favorite Jobs Report Stock? - Real Time Insight | Shares of several real estate companies are trading higher as equities continue  | Shares of several real estate companies are trading higher as equities continue  | Brazil stocks up on unemployment data, real dips | U.S. jobs report hit commercial real estate shares"
asset:stocks,asset,asset:healthcare,asset,POSITIVE_CORRELATION,9,"Shares of several healthcare companies are trading lower in sympathy with the ov | Shares of several healthcare companies are trading lower amid market weakness fo | Big Pharma, Green Trucks And Jobs Report (Stocks To Watch Podcast) | Stocks To Watch: Big Pharma, Green Trucks And Jobs Report | Tech Stocks Lead On Strong Jobs Report; This Biotech Stock Soars"
event:employment,event,asset:investors,asset,NEGATIVE_IMPACT,9,"Shares of several industrial companies are trading lower amid market weakness fo | Shares of several technology companies are trading lower amid market weakness, s | Shares of several financial services companies are trading lower amid market wea | Shares of several healthcare companies are trading lower amid market weakness fo | Gold Ticks Lower, Investors Eye Nonfarm Payrolls"
asset:bonds,asset,asset:dollar,asset,POSITIVE_CORRELATION,9,"US Dollar and Treasuries Fall After Jobs Report as Equities Move Higher | GLOBAL MARKETS-Dlr up, bonds dip as Fed rate cut prospects wane | Canada dollar sags on U.S. jobs report, bonds fall | Canadian dollar surges on jobs report, bonds slide | GLOBAL MARKETS-Dollar, Treasury yields rise after US jobs report"
event:rate_cut,event,asset:nikkei,asset,NEUTRAL_IMPACT,9,"Nikkei seen rising on hopes for large US rate cuts | Nikkei up 3 pct on earnings, chance of Fed rate cut | Nikkei jumps 3.3 pct on Fed rate cut | Nikkei ends up 3.7 pct on relief over Fed rate cut | Nikkei rises 1.1 pct on Fed rate cut, Honda slides"
event:employment,event,asset:euro,asset,NEGATIVE_IMPACT,9,"EURO GOVT-Bunds dip after U.S. jobs report | GLOBAL MARKETS-Stocks, euro slide after tepid US jobs report | Stocks, euro slip as U.S. jobs report awaited | CORRECTED-GLOBAL MARKETS-Stocks, euro slip as US jobs report awaited | GLOBAL MARKETS-Stocks, euro slip as jobs report, Fed move awaited"
asset:stocks,asset,asset:crude,asset,CO_OCCURRENCE,8,"Stock Futures Trading Lower as Oil Braces For OPEC Announcement, Jobs Report | Stocks Down as Employment Data Weighs; Crude Futures Back Off Yesterday's Gains | Mid-Day Update: Stocks Firmly Lower as Crude Prices, Employment Data Weigh on In | Energy Stocks In Focus As Crude Oil Extends Rally, But Weak Employment Data Coul | Stocks Fall As Oil Plummets Ahead Of Key Jobs Report"
asset:stocks,asset,asset:gold,asset,POSITIVE_CORRELATION,8,"CANADA STOCKS-TSX slips on decline in bullion prices, grim employment data | Gold Funds Sparkle Again And Stocks Kick Higher On 'Goldilocks' Jobs Report | Gold Stock Roundup: Weak Jobs Reports Sends Gold Prices Soaring (ABX, BTG, KGC,  | Shares of several gold and silver mining companies are trading lower as the US d | Shares of several gold companies are trading higher as renewed speculation of a "
asset:yields,asset,asset:stocks,asset,POSITIVE_CORRELATION,7,"Stocks Little Changed Before the Open as Bond Yields Stabilize, U.S. ADP Jobs Re | GLOBAL MARKETS-Stocks tumble, U.S. bond yields rise on strong jobs report | GLOBAL MARKETS-Stocks fall, U.S. bond yields jump on strong jobs report | GLOBAL MARKETS-Stocks, yields slide after U.S. jobs report as Omicron looms | TREASURIES-US yields rise as stocks rally after Fed rate cut"
asset:futures,asset,asset:sp500,asset,POSITIVE_CORRELATION,7,"S&P Futures Climb as Investors Await Key U.S. Jobs Report | S&P Futures Tread Water as Investors Await Key U.S. Jobs Report | US STOCKS-S&P, Nasdaq futures at record highs before January jobs report | US STOCKS-S&P futures at record high ahead of nonfarm payrolls data | Jobs Report Comes In Lower Than Expected, S&P 500 Futures Fall Under 2,100"
asset:gold,asset,asset:silver,asset,POSITIVE_CORRELATION,7,"Gold and Silver Miners Soar on the Heels of Weaker Employment Data -- Is This Ju | Gold, Silver ETFs Hit Six-Month Highs On Jobs Report | Shares of several gold and silver companies are trading higher as gold prices ri | Shares of several gold and silver mining companies are trading lower as the US d | Gold, Silver Spike Higher Following Jobs Report"
asset:nasdaq,asset,asset:sp500,asset,POSITIVE_CORRELATION,7,"Close Update: Labor Market Report Powers S&P 500 and Nasdaq to Record Highs | US STOCKS-S&P 500, Nasdaq hit record highs as stimulus hopes outweigh dire jobs  | US STOCKS-S&P 500, Nasdaq fall as yields rally on hot labor market data | US STOCKS-S&P 500, Nasdaq set to fall as yields rally on labor market data | US STOCKS-S&P, Nasdaq futures at record highs before January jobs report"
asset:stocks,asset,asset:bonds,asset,NEGATIVE_CORRELATION,7,"Stocks Set to Open Lower as Bond Yields Rebound, U.S. Jobs Report Looms | Markets Today: Stocks Slip as Bond Yields Climb on U.S. Labor Market Strength | TREASURIES-Prices fall as stocks gain; nonfarm payrolls awaited | TREASURIES-Prices slip as stocks gain; nonfarm payrolls awaited | GLOBAL MARKETS-Stocks, oil slip on US jobs report; bonds rally"
asset:dollar,asset,asset:gold,asset,POSITIVE_CORRELATION,7,"Gold Prices Forecast: XAU/USD Steady as Fed Rate Cut Speculation Intensifies | Dollar Bruised and Wounded by US Rate Cut Bets, Gold Snoozes | Gold falls as dollar firms after U.S. jobs report | US gold slightly down on dollar after jobs report | PRECIOUS-Gold stays below $1,200 as US jobs report boosts dollar"
event:employment,event,asset:financials,asset,NEGATIVE_IMPACT,7,"US STOCKS-Wall St falls on bank stocks tumble, jobs report jitters | Mid-Day Update: Stocks Slip as Employment Data Disappoints; Financials Broadly L | Shares of several financial services companies are trading lower amid market wea | Large Cap Bank Stocks Trading Higher Pre-Market After Strong Jobs Report, S&P E- | US STOCKS-Wall St led lower by banks, jobs report weighs"
asset:gold,asset,asset:futures,asset,POSITIVE_CORRELATION,7,"Large Cap Bank Stocks Trading Higher Pre-Market After Strong Jobs Report, S&P E- | Gold Futures Spike to High of $1365.60 Ahead on Nonfarm Payroll Data | Gold Futures Up ~$13 Or ~1.20% Following Weak US Jobs Report | U.S. gold futures finish higher after Fed rate cut | Gold Futures Pare Gains in New York After U.S. Jobs Report"
asset:euro,asset,asset:yen,asset,POSITIVE_CORRELATION,7,"Yen Falls Against Dollar and Euro Ahead of U.S. Jobs Report (FXY) | FOREX-Euro rebounds, dollar up vs yen on jobs report | CANADA FX DEBT-Bumper U.S. jobs report drives C$ up vs euro, yen | Dollar rises vs euro, yen after U.S. jobs report | FOREX-Dollar soars vs euro, yen, boosted by jobs report"
asset:stocks,asset,asset:gold,asset,CO_OCCURRENCE,7,"Stocks Up On ECB, Jobs Report; Gold Miners Rally | U.S. Stocks Slammed After Coronavirus Rate Cut; 2 Gold Stocks Make Bullish Moves | PRECIOUS-Gold eases as U.S. equities rally, nonfarm payrolls eyed | CANADA STOCKS-TSX ends flat after jobs report but gold miners surge | CANADA STOCKS-TSX steady after jobs report; gold miners gain"
asset:stocks,asset,asset:yen,asset,POSITIVE_CORRELATION,7,"Japan stocks up on US rate cut hopes, yen retreat | Japan stocks seen up on Fed rate cut hope, yen | Japanese stocks tumble 2 pct on Fed rate cut, yen | Japan stocks fall 2% after Fed rate cut, yen rise | Japanese stocks slide after Fed rate cut, yen rise"
event:rate_cut,event,asset:ftse,asset,NEUTRAL_IMPACT,7,"FTSE surges as banks lead; Fed rate cut hopes boost | FTSE surges 1.7 pct as world bets on US rate cut | FTSE falls after Fed rate cut; N. Rock bid hitch | FTSE rises on Fed rate cut, Northern Rock dips | FTSE soars 3.5 pct on hopes for hefty US rate cut"
event:employment,event,asset:ftse,asset,NEUTRAL_IMPACT,7,FTSE up ahead of U.S. jobs report | FTSE up ahead of U.S. jobs report; miners gain | FTSE rebounds after weak U.S. jobs report | FTSE slips 0.4 pct ahead of U.S. jobs report | Britain's FTSE firmer after U.S. jobs report
asset:stocks,asset,asset:peso,asset,POSITIVE_CORRELATION,7,"Mexico stocks drop, peso flat as US rate cut looms | Mexico stocks rise on U.S. jobs report, peso slips | Mexican stocks, peso off on doubts over US rate cut | Mexico peso, stocks hit by US rate cut doubts | Mexican peso, stocks hit by doubts on US rate cut"
event:rate_cut,event,asset:financials,asset,POSITIVE_IMPACT,7,"US STOCKS-Financials Surge Ahead of Expected Fed Rate Cut | US STOCKS-Financials surge ahead of expected Fed rate cut | US STOCKS-Stocks soar after Fed rate cut, financials rally | Nikkei climbs 0.5 pct on Fed rate cut, banks rise | Nikkei climbs 0.5 pct after Fed rate cut, banks rise"
asset:bonds,asset,asset:futures,asset,POSITIVE_CORRELATION,7,"UPDATE 1-CME paused Treasuries futures trading before jobs report | CME paused trading in Treasuries futures before jobs report | EURO GOVT-Bund futures fall ahead of US ADP jobs report | Stock Futures in U.S., Commodities Climb, Treasuries Tumble on Jobs Report | Stock Futures in U.S. Slump, Treasuries Gain as Unemployment Rate Climbs"
event:employment,event,asset:asia_stocks,asset,POSITIVE_IMPACT,7,"Asian Stocks Advance for First Time in Three Days on U.S. Jobs Report; Oil | Asian Stocks Rise as U.S. Jobs Report Boosts Confidence in Global Recovery | Asian Stocks Advance for Fourth Day This Week on U.S. Employment Data, Oil | Asian Stocks Rise Outside Japan on U.S. Employment Data | Asian Stocks Rise on U.S. Jobs Report, China's Takeover Bid; Equinox Gains"
event:employment,event,asset:sp500,asset,POSITIVE_IMPACT,6,"S&P Futures Climb as Investors Await Key U.S. Jobs Report | Opening View: DJIA, SPX Ready to Rally as Jobs Report Jolts the Bulls | Midday Update: Stocks Rally, S&P 500 Hits Record High on Upbeat July Jobs Report | U.S. Stocks Drop as Jobs Report Wipes Out S&P 500’s Weekly Gain | S&P 500 Snaps 3-Day Rally on ECB Ahead of Jobs Report"
event:employment,event,asset:silver,asset,NEUTRAL_IMPACT,6,"Silver Prices Forecast: XAG/USD’s Stability Tested by Upcoming U.S. Labor Market | Silver Prices Forecast: XAG/USD Dips Ahead of US Labor Market Report | Gold, Silver ETFs Hit Six-Month Highs On Jobs Report | Silver Price Forecast: Gains Capped Ahead of Nonfarm Payrolls Report | Gold Pops, Silver Sputters on Weak Jobs Report"
event:employment,event,asset:europe_stocks,asset,NEUTRAL_IMPACT,6,"European shares bounce back from U.S. jobs report hammering | Europe shares near 2-yr high after US jobs report | European shares steady before U.S. jobs report | European Stocks, U.S. Futures Are Little Changed Before Unemployment Data | European Stocks Retreat as U.S. Jobs Report Misses Estimates"
asset:stocks,asset,asset:dow,asset,CO_OCCURRENCE,6,"Mid-Day ETF Update: ETFs, Stocks Continue Rally as Dow Surpasses 25,000 Mark on  | Mid-Day ETF Update: ETFs, Stocks Surge Higher as Dow, S&P 500 Hit Record Highs o | Stocks Jump After January Jobs Report; Dow Tops 14,000 | Dow Jones Futures: Apple, AMD Lead Key Earnings Movers; Stock Market Rally Await | Dow Jones Cools Ahead Of Fed Rate Cut Decision; Why CDW Stock Is A Higher-Risk B"
event:rate_cut,event,asset:gold,asset,POSITIVE_IMPACT,6,"Gold on Track For Weekly Gain as Investors Await US Rate Cut | Shares of several gold and silver companies are trading higher as gold prices ri | Shares of several gold companies are trading higher as renewed speculation of a  | U.S. gold futures finish higher after Fed rate cut | GLOBAL MARKETS-US rate cut hopes send stocks, gold higher"
event:employment,event,asset:pound,asset,NEGATIVE_IMPACT,6,"Forex Daily Recap – Poor UK Unemployment Data Weighed Down The Cable | Stocks down before jobs report, sterling falls | GLOBAL MARKETS-US stocks down before jobs report, sterling falls | Pound Erases Drop Versus Euro on Unemployment Rate, BOE Minutes | Pound Extends Decline After U.K. Unemployment Data, BOE Minutes"
asset:stocks,asset,asset:dollar,asset,CO_OCCURRENCE,6,Shares of several gold and silver mining companies are trading lower as the US d | Shares of several gold companies are trading higher as renewed speculation of a  | Stocks surge after U.S. jobs report; dollar slips | CORRECTED-GLOBAL MARKETS-Stocks surge after U.S. jobs report; dollar slips | GLOBAL MARKETS-Stocks rally after U.S. jobs report; dollar slips
event:employment,event,asset:copper,asset,NEGATIVE_IMPACT,6,"Crude Oil, RBOB Gasoline, and Copper Futures Moving Lower after Employment Data | US gold down after nonfarm payrolls, copper higher | U.S. copper settles lower on soft employment data | Copper Rebounds, Paring Weekly Decline, Before U.S. Jobs Report | Copper Pares Drop on London Metal Exchange After Jobs Report"
event:rate_cut,event,asset:dow,asset,NEUTRAL_IMPACT,6,"Dow Jones Futures: Apple, AMD Lead Key Earnings Movers; Stock Market Rally Await | Dow Jones Plunges Further As Fed Rate Cut Fails To Boost Confidence, Coronavirus | Dow Jones Futures: After Fed Rate Cut Flops, A Coronavirus Stock Market Correcti | Dow Sells Off After Surprise Fed Coronavirus Rate Cut; Trump Tweets Demand For M | Dow Jones Cools Ahead Of Fed Rate Cut Decision; Why CDW Stock Is A Higher-Risk B"
event:rate_cut,event,asset:financials,asset,NEUTRAL_IMPACT,6,Strong Jobs Report Lowers Big Rate Cut Chance: Banks Rejoice | Stephens downgrades regional banks amid anticipation of Fed rate cut | ANALYSIS-Fed Rate Cut Won't End Banks' Woes | FTSE surges as banks lead; Fed rate cut hopes boost | HK banks may not follow further US rate cuts -HSBC
asset:stocks,asset,asset:bonds,asset,CO_OCCURRENCE,6,"Stocks Crumble On Jobs Report; Banks Get Clobbered, Bonds Climb | TREASURIES-Bonds slip after US jobs report; eye stocks | TREASURIES-Bonds stumble as stocks rebound, eye on jobs report | TREASURIES-Bonds jump as stocks tank despite Fed rate cut | U.K. Gilts Decline as Equities, U.S. Jobs Report Reduce Demand for Safety"
event:rate_hike,event,asset:investors,asset,NEUTRAL_IMPACT,6,US STOCKS-Wall St slips as investors eye rate hike after jobs report | Traders see more chance of 2016 rate hike after jobs report | Traders price in earlier 2016 rate hike after jobs report | Traders nix bets on summer U.S. rate hike after weak jobs report | UPDATE 1-Traders nix bets on summer U.S. rate hike after weak jobs report
event:employment,event,asset:emerging_markets,asset,NEUTRAL_IMPACT,6,EMERGING MARKETS-Latam currencies sell off after robust US jobs report | EMERGING MARKETS-US jobs report emboldens risk takers in LatAm | EMERGING MARKETS-Thin trading in LatAm markets after U.S. jobs report | EMERGING MARKETS-Latam stocks hit by weak U.S. jobs report | Manpower Employment Outlook Survey Shows Emerging Markets Continue to Lead Globa
asset:yields,asset,asset:dollar,asset,POSITIVE_CORRELATION,6,"GLOBAL MARKETS-Dollar, Treasury yields rise after US jobs report | GLOBAL MARKETS-U.S. employment data weigh on dollar, Treasury yields | GLOBAL MARKETS-U.S. employment data drag down dollar, Treasury yields | Dollar and U.S. yields rise, stocks fall after jobs report keeps Fed hike alive | GLOBAL MARKETS-Dollar and U.S. yields rise, stocks fall after jobs report keeps "
event:rate_hike,event,asset:euro,asset,NEUTRAL_IMPACT,6,Euro-Area Unemployment Rate Rises to Record 11.8% Amid Recession | Euro-Region Unemployment Rate Rises to Record 11.4% | Euro-Area Unemployment Rate Rises to Record: Economy | Portugal’s Unemployment Rate Rises to New Euro-Era Record | Portugal’s Unemployment Rate Increases to Euro-Era Record 15%
event:employment,event,asset:financials,asset,POSITIVE_IMPACT,5,"Miners, financials lift Australian shares ahead of June employment data | European Stocks Rebound On US Jobs Report, Financial Sector Recovers | Traders Watching Banks Move Higher, Attributing Move to Comment from Atlanta Fed | Stocks Crumble On Jobs Report; Banks Get Clobbered, Bonds Climb | Most U.S. Stocks Advance on Employment Data, Rally Among Banks"
asset:dollar,asset,asset:silver,asset,POSITIVE_CORRELATION,5,Silver Prices Forecast: XAG/USD’s Stability Tested by Upcoming U.S. Labor Market | Silver Prices Forecast: XAG/USD Firms Amid Fed Rate Cut Expectations | Silver Prices Forecast: XAG/USD Dips Ahead of US Labor Market Report | Silver Prices Forecast: Fed Rate Cut Buzz Lifts XAG/USD to Three-Week High | Shares of several gold and silver companies are trading higher as gold prices ri
asset:gold,asset,asset:investors,asset,POSITIVE_CORRELATION,5,"Gold Funds Sparkle Again And Stocks Kick Higher On 'Goldilocks' Jobs Report | Shares of several gold and silver companies are trading higher as gold prices ri | Gold Ticks Lower, Investors Eye Nonfarm Payrolls | Investors Got It Wrong: The Latest Jobs Report And Rising Interest Rates Are Rea | PRECIOUS-Gold firms on U.S. data, investors cautious ahead of ECB, nonfarm payro"
asset:crude,asset,asset:gold,asset,POSITIVE_CORRELATION,5,"Commodities Finish Higher; Oil Rises on Strong Employment Data; Gold Adds Modest | Large Cap Bank Stocks Trading Higher Pre-Market After Strong Jobs Report, S&P E- | Crude Oil and Gold Selling Off After Initially Trading Higher on Jobs Report | US gold rises on oil rally after jobs report | U.S. gold falls sharply on oil losses, jobs report"
asset:nasdaq,asset,asset:stocks,asset,CO_OCCURRENCE,5,"Mid-Day ETF Update: ETFs, Stocks Higher; Nasdaq Hits Record High Following Upbea | Nasdaq Hits 11-Year High As Stocks Rally On Jobs Report | Stocks Close Higher As Wall Street Cheers Jobs Report; Nasdaq Clears Key Level | Stocks Close Higher As Nasdaq Leads Broad Gains; Jobs Report Looms | US STOCKS-S&P;, Nasdaq end higher on Fed rate cut hopes"
asset:copper,asset,asset:futures,asset,POSITIVE_CORRELATION,5,"Crude Oil, RBOB Gasoline, and Copper Futures Moving Lower after Employment Data | US copper futures trim gains after Fed rate cut | US copper futures trims losses after Fed rate cut | US copper futures gain ground ahead of Fed rate cut | US copper futures trim early losses on Fed rate cut"
asset:bonds,asset,asset:investors,asset,POSITIVE_CORRELATION,5,"3 Bond Funds To Consider Before The Next Fed Rate Cut | TREASURIES-Bond yields rise, traders eye Friday jobs report | TREASURIES-U.S. bonds steady as investors await jobs report | TREASURIES-Prices down as investors pare US rate cut bets | TREASURIES-Yields little moved as investors eye April jobs report"
event:employment,event,asset:asia_stocks,asset,NEGATIVE_IMPACT,5,"Asian shares lower following U.S. jobs report | Asian Stocks Slide as Jobs Report Adds to Growth Concern | Asian Stocks Pare Monthly Slump on U.S. Economic Data Before Jobs Report | Asian Stocks Decline as Investors Await U.S. Jobs Report; Honda, LG Drop | Asian Stocks Fall as Oil Drops on Libya, U.S. Employment Data Disappoints"
event:rate_cut,event,asset:dollar,asset,NEGATIVE_IMPACT,5,"USD May Fall on ISM Data, Virus Fears, Inflamed Fed Rate Cut Bets | GLOBAL MARKETS-Dlr up, bonds dip as Fed rate cut prospects wane | Dollar Libor rates fall after Fed rate cut | Canadian dollar lower after Fed rate cut, bonds up | FOREX-Dollar, yen dip on Fed rate cut expectations"
event:rate_cut,event,asset:japan_stocks,asset,NEUTRAL_IMPACT,5,"Japan stocks up on US rate cut hopes, yen retreat | Japan stocks open up but slip, Fed rate cut eyed | Japan stocks seen up on Fed rate cut hope, yen | Japan stocks up after Fed rate cut, but off highs | Japan stocks seen up after Fed rate cut, but volatile"
event:rate_cut,event,asset:yen,asset,NEUTRAL_IMPACT,5,"Japan stocks up on US rate cut hopes, yen retreat | Japan stocks seen up on Fed rate cut hope, yen | FOREX-Surprise Fed rate cut shakes dollar, yen struggles =2 | FOREX-Surprise Fed rate cut shakes dollar, yen struggles | GLOBAL MARKETS-Stocks gain;yen dips as mkts foresee US rate cut"
asset:japan_stocks,asset,asset:yen,asset,POSITIVE_CORRELATION,5,"Japan stocks up on US rate cut hopes, yen retreat | Japan stocks seen up on Fed rate cut hope, yen | Japanese stocks tumble 2 pct on Fed rate cut, yen | Japan stocks fall 2% after Fed rate cut, yen rise | Japanese stocks slide after Fed rate cut, yen rise"
asset:yields,asset,asset:ust10y,asset,POSITIVE_CORRELATION,5,TREASURIES-U.S. 10-year yields above 2 pct before jobs report | Better jobs report pushes 10-year yield above 2 percent | TREASURIES-Better jobs report pushes 10-yr yield above 2 pct | JGB 10-year yield hits 8-mth low after Fed rate cut | Treasury 10-Year Yield Climbs to Highest in 9 Months After Employment Data
asset:euro,asset,asset:stocks,asset,POSITIVE_CORRELATION,5,"GLOBAL MARKETS-Stocks, euro slide after tepid US jobs report | Stocks, euro slip as U.S. jobs report awaited | CORRECTED-GLOBAL MARKETS-Stocks, euro slip as US jobs report awaited | GLOBAL MARKETS-Stocks, euro slip as jobs report, Fed move awaited | Euro stocks jump at Fed rate cut"
event:employment,event,asset:ftse,asset,NEGATIVE_IMPACT,5,FTSE's drop steadies ahead of U.S. jobs report | Banks drag FTSE lower; U.S. jobs report eyed | CORRECTED - FTSE down as oils weigh; U.S. jobs report eyed | FTSE down 0.6 percent midday; U.S. jobs report awaited | FTSE 100 Index Extends Decline on U.S. Jobs Report; Lenders Cascade Lower
event:rate_cut,event,asset:europe_stocks,asset,NEUTRAL_IMPACT,5,"Fed rate cut uncertainty weighs on European stocks | Europe stocks extend losses on Fed rate cut doubt | European stocks recover, Fed rate cut awaited | European stocks add to gains after Fed rate cut | European shares reverse losses after Fed rate cut"
asset:investors,asset,asset:futures,asset,CO_OCCURRENCE,4,"S&P Futures Climb as Investors Await Key U.S. Jobs Report | ETF Preview: ETFs, Futures Slip as Investors Fret Ahead of Q1 Earnings, Nonfarm  | US Stock Futures Down As Investors Await September Employment Data | US Stock Futures Down As Investors Await Nonfarm Payrolls Data"
asset:yields,asset,asset:stocks,asset,NEGATIVE_CORRELATION,4,"Stocks Set to Open Lower as Bond Yields Rebound, U.S. Jobs Report Looms | Markets Today: Stocks Slip as Bond Yields Climb on U.S. Labor Market Strength | US STOCKS-S&P 500, Nasdaq fall as yields rally on hot labor market data | US STOCKS-S&P 500, Nasdaq set to fall as yields rally on labor market data"
asset:stocks,asset,asset:futures,asset,CO_OCCURRENCE,4,"ETF Preview: ETFs, Futures Slip as Wall Street Remains Cautious Ahead of Friday' | Stocks Down as Employment Data Weighs; Crude Futures Back Off Yesterday's Gains | Dow Jones Futures: Apple, AMD Lead Key Earnings Movers; Stock Market Rally Await | European Stocks Gain for Third Day; Futures Fluctuate Before Jobs Report"
event:employment,event,asset:emerging_markets,asset,NEGATIVE_IMPACT,4,"EMERGING MARKETS-Latam markets fall after U.S. jobs report | EMERGING MARKETS-Latam stocks slip on US jobs report | EMERGING MARKETS-Brazil stocks down on China, unemployment data | Emerging Markets-Prices drop ahead of US jobs report"
asset:euro,asset,asset:bonds,asset,POSITIVE_CORRELATION,4,EURO GOVT-Bunds surge on weak US jobs report | EURO GOVT-Bunds dip after U.S. jobs report | EURO GOVT-Bunds slip briefly after U.S. ADP jobs report  | EURO GOVT-Bund futures fall ahead of US ADP jobs report
event:employment,event,asset:ust10y,asset,NEUTRAL_IMPACT,4,TREASURIES-U.S. 10-year yields above 2 pct before jobs report | Better jobs report pushes 10-year yield above 2 percent | TREASURIES-Better jobs report pushes 10-yr yield above 2 pct | Treasury 10-Year Yield Climbs to Highest in 9 Months After Employment Data
asset:stocks,asset,asset:hk_stocks,asset,POSITIVE_CORRELATION,4,"HK stocks seen rising after strong U.S. jobs report | HK shares rebound on US rate cut, led by financials | HK shares recover after US rate cut, HSBC leads | Recovery seen for HK stocks after US rate cut"
event:rate_cut,event,asset:yen,asset,NEGATIVE_IMPACT,4,"Japanese stocks tumble 2 pct on Fed rate cut, yen | Japan stocks fall 2% after Fed rate cut, yen rise | Japanese stocks slide after Fed rate cut, yen rise | FOREX-Dollar, yen dip on Fed rate cut expectations"
event:rate_cut,event,asset:copper,asset,NEUTRAL_IMPACT,4,UPDATE 7-Copper slips on disappointing Fed rate cut | US copper ends up in anticipation of Fed rate cut | US copper futures trims losses after Fed rate cut | US copper settle off lows on Fed rate cut optimism
event:employment,event,asset:yen,asset,POSITIVE_IMPACT,4,"FOREX-Jobs report helps lift dollar versus yen | FOREX-Yen holds firm tone before U.S. jobs report | FOREX-Yen rise after disappointing U.S. jobs report | Australian, New Zealand Dollars Advance Versus Yen on U.S. Employment Data"
